"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11634","Hovering restart all system button will display a description","chromium","Tue Dec 10 09:14:45 UYT 2024","passed","Tue Dec 10 09:14:57 UYT 2024","Settings/Lighting","settingsLightingTests.spec.js","",""
"","16864","All elements are correctly visible","chromium","Tue Dec 10 09:15:33 UYT 2024","failed","Tue Dec 10 09:15:49 UYT 2024","Settings/Network","settingsNetworkTests.spec.js","",""
"","8906","Getting Started - All elements are correctly displayed","chromium","Tue Dec 10 14:58:22 UYT 2024","skipped","Tue Dec 10 14:58:31 UYT 2024","Getting Started Tests","gettingStartedTest.spec.js","",""
"","11337","Settings/Lighting - All elements are visible","chromium","Tue Dec 10 15:00:23 UYT 2024","passed","Tue Dec 10 15:00:34 UYT 2024","","settingsLightingTests.spec.js","",""
"","6842","Join an existing team - All elements are correctly displayed","chromium","Tue Dec 10 14:59:08 UYT 2024","skipped","Tue Dec 10 14:59:15 UYT 2024","Getting Started Tests","gettingStartedTest.spec.js","",""
"","11162","Menu Bar - Navigate to Client Devices screen","chromium","Tue Dec 10 14:59:23 UYT 2024","passed","Tue Dec 10 14:59:34 UYT 2024","","menuBarTest.spec.js","",""
"","12420","Pressing Confirm button with all fields empty except Current Key input should trigger an error message","chromium","Tue Dec 10 09:16:20 UYT 2024","failed","Tue Dec 10 09:16:32 UYT 2024","Settings/Wifi > Change Password Modal - ","settingsWifiTests.spec.js","",""
"","11292","Menu Bar - Navigate to Network Topology screen","chromium","Tue Dec 10 14:59:00 UYT 2024","passed","Tue Dec 10 14:59:12 UYT 2024","","menuBarTest.spec.js","",""
"","16163","Clicking on Device name should prompt device info modal","chromium","Tue Dec 10 15:02:25 UYT 2024","failed","Tue Dec 10 15:02:41 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","10824","Settings/Wifi/Change Password - All labels displays the correct text","chromium","Tue Dec 10 15:02:18 UYT 2024","passed","Tue Dec 10 15:02:29 UYT 2024","","settingsWifiTests.spec.js","",""
"","10829","Settings/Internet - General settings link will redirect to General Setting screen","chromium","Tue Dec 10 15:01:07 UYT 2024","passed","Tue Dec 10 15:01:18 UYT 2024","","settingsInternetTests.spec.js","",""
"","2206","Login - See Password button reveals password text as expected","chromium","Tue Dec 10 14:58:54 UYT 2024","passed","Tue Dec 10 14:58:56 UYT 2024","","loginTests.spec.js","",""
"","8303","Dashboard - Is displayed by default after Login","chromium","Tue Dec 10 14:58:22 UYT 2024","passed","Tue Dec 10 14:58:31 UYT 2024","","dashboardTests.spec.js","",""
"","10719","Menu Bar - Navigate to Slyyd Devices screen","chromium","Tue Dec 10 14:59:12 UYT 2024","passed","Tue Dec 10 14:59:23 UYT 2024","","menuBarTest.spec.js","",""
"","11845","Error message is displayed when saving with NO IP to replace","chromium","Tue Dec 10 15:06:00 UYT 2024","passed","Tue Dec 10 15:06:12 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","10934","All elements are visible","chromium","Tue Dec 10 14:59:37 UYT 2024","passed","Tue Dec 10 14:59:48 UYT 2024","Settings/General Settings/ > Change Password - ","settingsGeneralSettingsTests.spec.js","",""
"","24326","All elements are correctly visibles","chromium","Tue Dec 10 09:16:00 UYT 2024","passed","Tue Dec 10 09:16:24 UYT 2024","System Logs Tests","settingSystemLogsTests.spec.js","",""
"","11156","Settings/Lighting - All attributes are correctly displayed","chromium","Tue Dec 10 15:00:34 UYT 2024","passed","Tue Dec 10 15:00:46 UYT 2024","","settingsLightingTests.spec.js","",""
"","11729","Link Slyyd Lighting Section redirects to Ports screen","chromium","Tue Dec 10 09:14:57 UYT 2024","passed","Tue Dec 10 09:15:09 UYT 2024","Settings/Lighting","settingsLightingTests.spec.js","",""
"","10855","Settings/Wifi/Change Password - Confirm with Only Current Key fullfilled","chromium","Tue Dec 10 15:02:40 UYT 2024","passed","Tue Dec 10 15:02:51 UYT 2024","","settingsWifiTests.spec.js","",""
"","10850","Ports - All elements attributes are correct","chromium","Tue Dec 10 14:59:26 UYT 2024","passed","Tue Dec 10 14:59:37 UYT 2024","","portsTests.spec.js","",""
"","10778","Settings/Wifi/Change Password - Confirm with Only New Key fullfilled","chromium","Tue Dec 10 15:02:51 UYT 2024","passed","Tue Dec 10 15:03:02 UYT 2024","","settingsWifiTests.spec.js","",""
"","11397","Filtering Slyyd devices by status","chromium","Tue Dec 10 15:03:32 UYT 2024","passed","Tue Dec 10 15:03:44 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","11025","Settings/Network - DHCP mode input is disable","chromium","Tue Dec 10 15:01:34 UYT 2024","passed","Tue Dec 10 15:01:45 UYT 2024","","settingsNetworkTests.spec.js","",""
"","10755","Settings/Wifi - All elements are visible","chromium","Tue Dec 10 15:01:32 UYT 2024","passed","Tue Dec 10 15:01:42 UYT 2024","","settingsWifiTests.spec.js","",""
"","46002","All elements are correctly displayed","chromium","Tue Dec 10 15:04:06 UYT 2024","failed","Tue Dec 10 15:04:52 UYT 2024","Settings/General Settings/ > Import Settings - ","settingsGeneralSettingsTests.spec.js","",""
"","12311","All elements are correctly displayed","chromium","Tue Dec 10 15:01:45 UYT 2024","passed","Tue Dec 10 15:01:57 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","10830","Cancel button should close Import Settings modal","chromium","Tue Dec 10 15:05:04 UYT 2024","passed","Tue Dec 10 15:05:14 UYT 2024","Settings/General Settings/ > Import Settings - ","settingsGeneralSettingsTests.spec.js","",""
"","10783","Settings/Wifi/Change Password - All elements are correctly displayed","chromium","Tue Dec 10 15:02:07 UYT 2024","passed","Tue Dec 10 15:02:18 UYT 2024","","settingsWifiTests.spec.js","",""
"","12721","Cancel button should close the Replace IP modal","chromium","Tue Dec 10 09:19:06 UYT 2024","passed","Tue Dec 10 09:19:19 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","8882","Login - Able to login OP with Corrects Credentials","chromium","Tue Dec 10 14:58:22 UYT 2024","failed","Tue Dec 10 14:58:31 UYT 2024","","loginTests.spec.js","",""
"","12265","User is able to set Date manually","chromium","Tue Dec 10 15:03:18 UYT 2024","passed","Tue Dec 10 15:03:30 UYT 2024","Settings/General Settings/ > Set Time - ","settingsGeneralSettingsTests.spec.js","",""
"","10970","All the Table content is accurate","chromium","Tue Dec 10 14:58:36 UYT 2024","passed","Tue Dec 10 14:58:47 UYT 2024","Client Devices - ","clientdevicesTest.spec.js","",""
"","10770","Settings/Wifi/Change Password - Confirm with Only Confirm Key fullfilled","chromium","Tue Dec 10 15:03:02 UYT 2024","passed","Tue Dec 10 15:03:13 UYT 2024","","settingsWifiTests.spec.js","",""
"","13340","Updating password should display informative message","chromium","Tue Dec 10 15:01:10 UYT 2024","failed","Tue Dec 10 15:01:23 UYT 2024","Settings/General Settings/ > Change Password - ","settingsGeneralSettingsTests.spec.js","",""
"","12166","All elements are correctly displayed","chromium","Tue Dec 10 09:13:44 UYT 2024","passed","Tue Dec 10 09:13:57 UYT 2024","Settings/Firewall - ","settingsFirewallTests.spec.js","",""
"","12856","Settings/Wifi - All labels has the correct text","chromium","Tue Dec 10 15:01:43 UYT 2024","passed","Tue Dec 10 15:01:55 UYT 2024","","settingsWifiTests.spec.js","",""
