"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10887","Pressing Confirm button with all fields empty except New Key input should trigger an error message","chromium","Fri Dec 13 20:35:16 UYT 2024","passed","Fri Dec 13 20:35:27 UYT 2024","","settingsWifiTests.spec.js","",""
"","10779","Link Slyyd Lighting Section redirects to Ports screen","chromium","Fri Dec 13 20:34:04 UYT 2024","passed","Fri Dec 13 20:34:15 UYT 2024","","settingsLightingTests.spec.js","",""
"","11139","Rebooting device should restart the device","chromium","Fri Dec 13 20:36:17 UYT 2024","passed","Fri Dec 13 20:36:28 UYT 2024","","slyydDevicesTests.spec.js","",""
"","20782","User is able to refresh the device list","chromium","Fri Dec 13 20:31:01 UYT 2024","passed","Fri Dec 13 20:31:21 UYT 2024","","clientdevicesTest.spec.js","",""
"","11714","X button should close the Replace IP modal","chromium","Fri Dec 13 20:36:51 UYT 2024","passed","Fri Dec 13 20:37:03 UYT 2024","","slyydDevicesTests.spec.js","",""
"","10731","In Settings/Wifi screen a warning message is displayed","chromium","Fri Dec 13 20:34:34 UYT 2024","passed","Fri Dec 13 20:34:44 UYT 2024","","settingsWifiTests.spec.js","",""
"","10592","DHCP mode input in Settings/Network screen is displayed disable by default","chromium","Fri Dec 13 20:34:21 UYT 2024","passed","Fri Dec 13 20:34:32 UYT 2024","","settingsNetworkTests.spec.js","",""
"","6418","User is able to login with Corrects Credentials","chromium","Fri Dec 13 20:32:54 UYT 2024","passed","Fri Dec 13 20:33:00 UYT 2024","","loginTests.spec.js","",""
"","20771","Canceling button will close Renew DHCP modal","chromium","Fri Dec 13 20:30:47 UYT 2024","skipped","Fri Dec 13 20:31:08 UYT 2024","","clientDevicesRenewDHCPTests.spec.js","",""
"","6407","Team creation with generation Key allow to move to Step2 screen","chromium","Fri Dec 13 20:32:57 UYT 2024","skipped","Fri Dec 13 20:33:03 UYT 2024","Create a New Team Tests","gettingStartedTest.spec.js","",""
"","10785","All elements are correctly displayed","chromium","Fri Dec 13 20:31:21 UYT 2024","passed","Fri Dec 13 20:31:32 UYT 2024","","GeneralSettingsTests/ImportSettings.spec.js","",""
"","15432","User is able to Decrease Time manually","chromium","Fri Dec 13 20:32:44 UYT 2024","passed","Fri Dec 13 20:33:00 UYT 2024","","GeneralSettingsTests/SetTime.spec.js","",""
"","11023","User is able to refreshing Time and Date","chromium","Fri Dec 13 20:32:05 UYT 2024","passed","Fri Dec 13 20:32:16 UYT 2024","","GeneralSettingsTests/SetTime.spec.js","",""
"","10499","In addressing Mode by selecting DHCP will disappear (IP Address, Netmask, Gateway) fields","chromium","Fri Dec 13 20:34:28 UYT 2024","passed","Fri Dec 13 20:34:38 UYT 2024","","settingsInternetTests.spec.js","",""
"","10554","In Settings/Wifi screen all labels are correctly displayed","chromium","Fri Dec 13 20:34:44 UYT 2024","passed","Fri Dec 13 20:34:55 UYT 2024","","settingsWifiTests.spec.js","",""
"","11150","Delete modal correctly visible when trying to delete Backup","chromium","Fri Dec 13 20:32:06 UYT 2024","passed","Fri Dec 13 20:32:17 UYT 2024","","GeneralSettingsTests/CreateBackup.spec.js","",""
"","11519","Error message is displayed when saving with INVALID IP to replace","chromium","Fri Dec 13 20:37:15 UYT 2024","passed","Fri Dec 13 20:37:26 UYT 2024","","slyydDevicesTests.spec.js","",""
